date, pm25, pm10, o3, no2, so2, co
2015/6/25, 48, , , 16, , 
2015/6/26, 48, , , 3, , 
2015/6/27, 29, , , 6, , 
2015/6/28, 39, , , 5, , 
2015/6/29, 25, , , 12, , 
2015/6/30, 36, , , 13, , 
2015/1/1, 120, , , 21, , 
2015/1/2, 70, , , 13, , 
2015/1/3, 44, , , 19, , 
2015/1/4, 61, , , 27, , 
2015/1/5, 80, , , 21, , 
2015/1/6, 74, , , 22, , 
2015/1/7, 65, , , 15, , 
2015/1/8, 41, , , 10, , 
2015/1/9, 24, , , 4, , 
2015/1/10, 16, , , 6, , 
2015/1/11, 31, , , 12, , 
2015/1/12, 30, , , 11, , 
2015/1/13, 36, , , 16, , 
2015/1/14, 27, , , 10, , 
2015/1/15, 25, , , 22, , 
2015/1/16, 42, , , 18, , 
2015/1/17, 65, , , 17, , 
2015/1/18, 58, , , 14, , 
2015/1/19, 57, , , 24, , 
2015/1/20, 96, , , 21, , 
2015/1/21, 71, , , 21, , 
2015/1/22, 123, , , 21, , 
2015/1/23, 122, , , 16, , 
2015/1/24, 62, , , 20, , 
2015/1/25, 80, , , 13, , 
2015/1/26, 40, , , 21, , 
2015/1/27, 54, , , 15, , 
2015/1/28, 37, , , 12, , 
2015/1/29, 20, , , 17, , 
2015/1/30, 36, , , 13, , 
2015/1/31, 37, , , 5, , 
2015/2/1, 29, , , 16, , 
2015/2/2, 50, , , 21, , 
2015/2/3, 61, , , 14, , 
2015/2/4, 57, , , 10, , 
2015/2/5, 58, , , 12, , 
2015/2/6, 86, , , 12, , 
2015/2/7, 85, , , 7, , 
2015/2/8, 48, , , 17, , 
2015/2/9, 43, , , 12, , 
2015/2/10, 6, , , 17, , 
2015/2/11, 71, , , 29, , 
2015/2/12, 134, , , 20, , 
2015/2/13, 93, , , 16, , 
2015/2/14, 37, , , 10, , 
2015/2/15, 44, , , 24, , 
2015/2/16, 82, , , 12, , 
2015/2/17, 56, , , 19, , 
2015/2/18, 80, , , 20, , 
2015/2/19, 88, , , 13, , 
2015/2/20, 44, , , 12, , 
2015/2/21, 35, , , 14, , 
2015/2/22, 47, , , 10, , 
2015/2/23, 20, , , 12, , 
2015/2/24, 35, , , 29, , 
2015/2/25, 63, , , 23, , 
2015/2/26, 54, , , 13, , 
2015/2/27, 40, , , 19, , 
2015/2/28, 49, , , 5, , 
2015/3/1, 30, , , 8, , 
2015/3/2, 26, , , 17, , 
2015/3/3, 35, , , 13, , 
2015/3/4, 33, , , 14, , 
2015/3/5, 47, , , 31, , 
2015/3/6, 76, , , 31, , 
2015/3/7, 97, , , 19, , 
2015/3/8, 88, , , 17, , 
2015/3/9, 75, , , 16, , 
2015/3/10, 82, , , 19, , 
2015/3/11, 87, , , 18, , 
2015/3/12, 60, , , 18, , 
2015/3/13, 72, , , 9, , 
2015/3/14, 95, , , 9, , 
2015/3/15, 100, , , 18, , 
2015/3/16, 101, , , 18, , 
2015/3/17, 127, , , 14, , 
2015/3/18, 159, , , 10, , 
2015/3/19, 111, , , 12, , 
2015/3/20, 164, , , 8, , 
2015/3/21, 94, , , 8, , 
2015/3/22, 61, , , 12, , 
2015/3/23, 79, , , 12, , 
2015/3/24, 70, , , 12, , 
2015/3/25, 51, , , 21, , 
2015/3/26, 61, , , 14, , 
2015/3/27, 47, , , 13, , 
2015/3/28, 41, , , 4, , 
2015/3/29, 26, , , 5, , 
2015/3/30, 29, , , 3, , 
2015/3/31, 36, , , 4, , 
2014/10/1, 58, , , 11, , 
2014/10/2, 47, , , 18, , 
2014/10/3, 59, , , 12, , 
2014/10/4, 52, , , 7, , 
2014/10/5, 24, , , 14, , 
2014/10/6, 34, , , 13, , 
2014/10/7, 26, , , 15, , 
2014/10/8, 23, , , 11, , 
2014/10/9, 35, , , 18, , 
2014/10/10, 54, , , 13, , 
2014/10/11, 49, , , 12, , 
2014/10/12, 39, , , 10, , 
2014/10/13, 19, , , 18, , 
2014/10/14, 35, , , 22, , 
2014/10/15, 57, , , 13, , 
2014/10/16, 25, , , 17, , 
2014/10/17, 28, , , 17, , 
2014/10/18, 43, , , 13, , 
2014/10/19, 52, , , 14, , 
2014/10/20, 35, , , 9, , 
2014/10/21, 25, , , 11, , 
2014/10/22, 39, , , 15, , 
2014/10/23, 45, , , 22, , 
2014/10/24, 51, , , 18, , 
2014/10/25, 71, , , 15, , 
2014/10/26, 81, , , 18, , 
2014/10/27, 68, , , 14, , 
2014/10/28, 60, , , 23, , 
2014/10/29, 88, , , 23, , 
2014/10/30, 75, , , 25, , 
2014/10/31, 61, , , 20, , 
2014/11/1, 58, , , 7, , 
2014/11/2, 36, , , 12, , 
2014/11/3, 15, , , 24, , 
2014/11/4, 39, , , 17, , 
2014/11/5, 42, , , 23, , 
2014/11/6, 59, , , 13, , 
2014/11/7, 21, , , 12, , 
2014/11/8, 36, , , 14, , 
